Initial Dense Units,LSTM Units,Dropout,LSTM Layers,Test Mean Error
50,150,0.1,1,1.7677389049112375
50,150,0.2,1,4.074872350246258
50,175,0.1,1,1.2366703475827145
50,175,0.2,1,2.347096763855867
50,225,0.1,1,1.3489848056031852
50,225,0.2,1,1.3670512876257017
50,275,0.1,1,1.6336927984503824
50,275,0.2,1,1.9325774692888344
50,150,0.1,2,1.5458474706932204
50,150,0.2,2,3.5617834617791884
50,175,0.1,2,2.649942764219139
50,175,0.2,2,2.2168214861804096
50,225,0.1,2,3.7745876170414436
50,225,0.2,2,4.094426669635704
50,275,0.1,2,1.5560028768637257
50,275,0.2,2,1.6303809362723314
50,150,0.1,3,3.515281740344902
50,150,0.2,3,2.3222112827366495
50,175,0.1,3,2.3996691750443926
50,175,0.2,3,3.5339160382529338
50,225,0.1,3,3.217034515938728
50,225,0.2,3,2.3346090671607804
50,275,0.1,3,4.051365812673022
50,275,0.2,3,2.8314984353777035
